Title,Description,Company,CompanyRepID,InternshipLevel,PreferredMajor,TotalSlots,OpeningDate,ClosingDate
Title 1,Description 1,Sutton-Williams,edward.stevens@sutton-williams.com,INTERMEDIATE,Computer Science,3,2025-01-01,2025-12-31
Title 2,Description 2,Sutton-Williams,edward.stevens@sutton-williams.com,BASIC,Information Engineering & Media,3,2025-01-01,2025-12-31
Title 3,Description 3,Sutton-Williams,ann.vaughn@sutton-williams.com,BASIC,Computer Science,3,2025-01-01,2025-12-31
Title 4,Description 4,Sutton-Williams,frank.beasley@sutton-williams.com,BASIC,Information Engineering & Media,6,2025-01-01,2025-12-31
Title 5,Description 5,Sutton-Williams,frank.beasley@sutton-williams.com,ADVANCED,Computer Engineering,5,2025-01-01,2025-12-31
Title 6,Description 6,Cooke-Barry,gary.morales@cooke-barry.com,ADVANCED,Computer Science,5,2025-01-01,2025-12-31
Title 7,Description 7,Cooke-Barry,gary.morales@cooke-barry.com,BASIC,Data Science & AI,2,2025-01-01,2025-12-31
Title 8,Description 8,Cooke-Barry,nathan.tanner@cooke-barry.com,ADVANCED,Computer Engineering,9,2025-01-01,2025-12-31
Title 9,Description 9,Cooke-Barry,nathan.tanner@cooke-barry.com,INTERMEDIATE,Information Engineering & Media,10,2025-01-01,2025-12-31
Title 10,Description 10,Cooke-Barry,nathan.tanner@cooke-barry.com,INTERMEDIATE,Computer Engineering,7,2025-01-01,2025-12-31
Title 11,Description 11,Wilkins-Lara,nicholas.marquez@wilkins-lara.com,INTERMEDIATE,Information Engineering & Media,3,2025-01-01,2025-12-31
Title 12,Description 12,Wilkins-Lara,nicholas.marquez@wilkins-lara.com,BASIC,Data Science & AI,6,2025-01-01,2025-12-31
Title 13,Description 13,Wilkins-Lara,thomas.gomez@wilkins-lara.com,BASIC,Data Science & AI,7,2025-01-01,2025-12-31
Title 14,Description 14,Wilkins-Lara,edward.webb@wilkins-lara.com,ADVANCED,Computer Science,2,2025-01-01,2025-12-31
Title 15,Description 15,Wilkins-Lara,edward.webb@wilkins-lara.com,ADVANCED,Information Engineering & Media,3,2025-01-01,2025-12-31
Title 16,Description 16,"Gilbert, Daugherty and Jones",travis.barker@gilbert.com,ADVANCED,Data Science & AI,3,2025-01-01,2025-12-31
Title 17,Description 17,"Gilbert, Daugherty and Jones",travis.barker@gilbert.com,INTERMEDIATE,Information Engineering & Media,6,2025-01-01,2025-12-31
Title 18,Description 18,"Gilbert, Daugherty and Jones",tammy.mora@gilbert.com,BASIC,Data Science & AI,3,2025-01-01,2025-12-31
Title 19,Description 19,"Gilbert, Daugherty and Jones",tammy.mora@gilbert.com,INTERMEDIATE,Computer Science,2,2025-01-01,2025-12-31
Title 20,Description 20,"Gilbert, Daugherty and Jones",shannon.williams@gilbert.com,INTERMEDIATE,Computer Science,4,2025-01-01,2025-12-31
Title 21,Description 21,Woods Group,lisa.williamson@woods.com,ADVANCED,Information Engineering & Media,2,2025-01-01,2025-12-31
Title 22,Description 22,Woods Group,lisa.williamson@woods.com,ADVANCED,Computer Science,3,2025-01-01,2025-12-31
Title 23,Description 23,Woods Group,jennifer.reynolds@woods.com,BASIC,Information Engineering & Media,10,2025-01-01,2025-12-31
Title 24,Description 24,Woods Group,dylan.price@woods.com,INTERMEDIATE,Information Engineering & Media,8,2025-01-01,2025-12-31
Title 25,Description 25,Woods Group,dylan.price@woods.com,ADVANCED,Data Science & AI,4,2025-01-01,2025-12-31
Title 26,Description 26,Gregory and Sons,jose.barton@gregory.com,ADVANCED,Computer Engineering,5,2025-01-01,2025-12-31
